VARIETY,ROW,PLANT,year,month,day,Leaf_potential,Stem_potential,Leaf_area1,Leaf_area2,leaf_weight1_mg,Leaf_weight2_mg,L1stom_length_1,L1stom_length_2,L1stom_length_3,L1stom_length_4,L1stom_length_5,L1image_area,L1stom_number,L2stom_length_1,L2stom_length_2,L2stom_length_3,L2stom_length_4,L2stom_length_5,L2image_area,L2stom_number
Merlot,15,3,2015,8,6,11,7,,,,,,,,,,,,,,,,,,
Merlot,15,4,2015,4,23,7,3.7,35.912,,1160,,,,,,,,,,,,,,,
Merlot,15,4,2015,6,16,7.7,6.1,,,2443,585,,,,,,,,,,,,,,
Merlot,15,4,2015,6,17,11.9,6.75,,,830,540,,,,,,,,,,,,,,
Merlot,15,4,2015,8,5,9.4,6.5,,,,,,,,,,,,,,,,,,
Merlot,15,4,2015,8,7,10.7,6.5,,,,,22.023,25.336,21.693,23.358,21.121,585630.249,53,,,,,,,
Sauvignon_blanc,16,1,2015,4,17,9.8,6.3,,,1002,,,,,,,,,,,,,,,
Sauvignon_blanc,16,1,2015,4,19,5.5,3.2,,,,,,,,,,,,,,,,,,
Sauvignon_blanc,16,1,2015,4,20,,,23.173,,813,,,,,,,,,,,,,,,
Sauvignon_blanc,16,1,2015,4,21,4.9,4.1,24.028,,1014,,,,,,,,,,,,,,,
Sauvignon_blanc,16,1,2015,4,24,9,4.7,19.325,,760,,,,,,,,,,,,,,,
Sauvignon_blanc,16,1,2015,6,15,4.5,3.7,,,1188,1378,27.794,17.948,25.229,28.054,24.194,585630.249,71,,,,,,,
Sauvignon_blanc,16,1,2015,6,19,7.4,4.9,,,904,1078,,,,,,,,,,,,,,
Sauvignon_blanc,16,1,2015,8,4,7.5,4.5,,,,,,,,,,,,,,,,,,
Sauvignon_blanc,16,1,2015,8,6,8,5,,,,,26.157,25.197,21.85,23.596,24.971,584388.192,94,21.717,19.634,18.055,22.697,21.988,584388.192,113
Sauvignon_blanc,16,2,2015,4,22,,5.75,,,,,,,,,,,,,,,,,,
Sauvignon_blanc,16,2,2015,4,23,8.8,5.8,15.073,,528,,,,,,,,,,,,,,,
Sauvignon_blanc,16,2,2015,6,16,6.6,4.6,,,1632,777,,,,,,,,,,,,,,
Sauvignon_blanc,16,2,2015,6,17,8.4,4.15,,,766,584,18.436,20.142,16.304,22.358,20.49,585630.249,96,,,,,,,
Sauvignon_blanc,16,2,2015,8,5,7.5,5.2,,,,,24.305,21.831,22.855,20.835,18.089,584388.192,96,,,,,,,
Sauvignon_blanc,16,2,2015,8,7,8.5,5.5,,,,,20.072,23.86,17.936,26.685,21.494,585630.249,58,,,,,,,
UngniBlanc_Trebbiano,17,2,2015,4,21,6.9,4.9,22.386,,756,,,,,,,,,,,,,,,
UngniBlanc_Trebbiano,17,2,2015,4,22,,5.85,,,,,,,,,,,,,,,,,,
UngniBlanc_Trebbiano,17,2,2015,4,23,5,3.8,28.701,,922,,,,,,,,,,,,,,,
UngniBlanc_Trebbiano,17,2,2015,4,24,6.5,4.9,27.203,,762,,,,,,,,,,,,,,,
UngniBlanc_Trebbiano,17,2,2015,6,15,7.4,4.6,,,785,613,,,,,,,,,,,,,,
UngniBlanc_Trebbiano,17,2,2015,6,16,7.95,5.5,,,684,461,18.953,23.169,24.912,21.536,27.481,585630.249,63,,,,,,,
UngniBlanc_Trebbiano,17,2,2015,6,17,6.5,4.9,,,654,730,22.359,23.939,18.496,17.018,23.904,585630.249,109,15.747,16.098,18.641,15.763,18.863,585630.249,51
UngniBlanc_Trebbiano,17,2,2015,6,19,6.5,4.8,,,665,580,25.316,25.166,25.43,25.266,28.706,585630.249,50,27.527,22.734,20.805,17.473,15.074,585630.249,67
UngniBlanc_Trebbiano,17,2,2015,8,4,8.5,5.5,,,,,,,,,,,,,,,,,,
UngniBlanc_Trebbiano,17,2,2015,8,5,7.7,5.5,,,,,20.065,26.914,29.708,28.873,25.141,584388.192,71,,,,,,,
UngniBlanc_Trebbiano,17,2,2015,8,6,8,5.1,,,,,,,,,,,,,,,,,,
UngniBlanc_Trebbiano,17,2,2015,8,7,9,8.5,,,,,,,,,,,,,,,,,,
Alicante_bouschet,17,3,2015,4,17,8.25,5.75,,,520,,,,,,,,,,,,,,,
Carignane,17,9,2015,4,17,9.1,6.9,,,843,,,,,,,,,,,,,,,
Carignane,17,9,2015,4,19,8,4.9,,,,,,,,,,,,,,,,,,
Carignane,17,9,2015,4,20,,,30.518,,887,,,,,,,,,,,,,,,
Carignane,17,9,2015,4,21,8.5,7.8,27.591,,1014,,,,,,,,,,,,,,,
Carignane,17,9,2015,4,24,9.8,7.5,27.405,,957,,,,,,,,,,,,,,,
Carignane,17,9,2015,6,15,7.8,5.9,,,1595,1458,21.665,20.553,21.586,16.441,22.519,585630.249,83,,,,,,,
Carignane,17,9,2015,6,19,7.8,5.9,,,1003,736,17.418,24.234,17.596,25.257,24.914,585630.249,119,,,,,,,
Carignane,17,9,2015,8,4,5.9,4.4,,,,,19.456,13.25,17.672,18.802,14.268,573389.179,126,17.34,15.244,17.937,17.748,17.017,573389.179,95
Carignane,17,9,2015,8,6,8.7,6,,,,,,,,,,,,,,,,,,
Carignane,17,10,2015,4,19,9,6,,,,,,,,,,,,,,,,,,
Carignane,17,10,2015,4,20,,,26.794,,827,,,,,,,,,,,,,,,
Carignane,17,10,2015,4,22,,5.5,,,,,,,,,,,,,,,,,,
Carignane,17,10,2015,4,23,8.7,6.4,28.135,,945,,,,,,,,,,,,,,,
Carignane,17,10,2015,6,16,7.3,4.9,,,1894,1648,,,,,,,,,,,,,,
Carignane,17,10,2015,6,17,8.5,4.9,,,1431,515,17.262,21.454,22.632,15.927,20.825,585630.249,90,,,,,,,
Carignane,17,10,2015,8,5,7.4,5.5,,,,,20.423,17.798,16.701,26.664,21.764,584388.192,87,,,,,,,
Carignane,17,10,2015,8,7,5.9,4.8,,,,,,,,,,,,,,,,,,
Cinsault,18,1,2015,4,17,9.1,5.9,,,515,,,,,,,,,,,,,,,
Counoise,18,3,2015,4,17,7.8,2,,,626,,,,,,,,,,,,,,,
Durif,18,5,2015,4,17,9.8,2.7,,,606,,,,,,,,,,,,,,,
Durif,18,5,2015,4,19,3.9,3.8,,,,,,,,,,,,,,,,,,
Durif,18,5,2015,4,20,,,19.144,,562,,,,,,,,,,,,,,,
Durif,18,5,2015,4,21,5,4.1,21.59,,622,,,,,,,,,,,,,,,
Durif,18,5,2015,4,23,7,3.5,17.825,,655,,,,,,,,,,,,,,,
Durif,18,5,2015,6,15,7.2,5.3,,,1525,1027,22.14,17.196,19.517,17.271,17.697,585630.249,93,,,,,,,
Durif,18,5,2015,6,19,8.25,5.6,,,620,419,,,,,,,,,,,,,,
Durif,18,5,2015,8,4,6.1,4.5,,,,,19.408,14.212,17.335,14.458,17.378,573389.179,80,,,,,,,
Durif,18,5,2015,8,6,9.9,7.25,,,,,,,,,,,,,,,,,,
Durif,18,6,2015,4,22,,4.2,,,,,,,,,,,,,,,,,,
Durif,18,6,2015,4,23,7,3.5,,,,,,,,,,,,,,,,,,
Durif,18,6,2015,6,16,7,4.5,,,975,752,17.322,16.253,17.456,22.146,19.226,585630.249,46,20.864,20.899,20.704,18.714,15.952,585630.249,69
Durif,18,6,2015,6,17,7.6,5.9,,,1108,624,15.409,15.106,18.863,18.529,19.111,585630.249,53,,,,,,,
Durif,18,6,2015,8,5,8.2,6,,,,,,,,,,,
Durif,18,6,2015,8,7,8.5,4.75,,,,,,,,,,,
Marsanne,18,7,2015,4,17,4.4,5.2,,,1210,,,,,,,,
Marsanne,18,7,2015,4,19,8.5,2.9,,,,,,,,,,,
Marsanne,18,7,2015,4,20,,,30.315,,1113,,,,,,,,
Marsanne,18,7,2015,4,21,8.3,5.8,21.711,,752,,,,,,,,
Marsanne,18,7,2015,4,23,8,4.8,,,,,,,,,,,
Marsanne,18,7,2015,6,15,7.9,5.2,,,1304,1135,19.184,13.702,21.2,13.179,14.326,585630.249,89
Marsanne,18,7,2015,6,19,9.25,6.7,,,1048,432,21.971,17.714,19.853,21.872,25.314,585630.249,117
Marsanne,18,7,2015,8,4,7.4,5.9,,,,,,,,,,,
Marsanne,18,7,2015,8,6,7.3,5.9,,,,,18.669,15.9,24.661,21.226,20.236,584388.192,87
Marsanne,18,8,2015,4,22,,4.95,,,,,,,,,,,
Marsanne,18,8,2015,4,23,7,5.9,23.938,,881,,,,,,,,
Marsanne,18,8,2015,6,16,5.4,4,,,1741,792,22.537,21.087,23.528,18.378,19.372,585630.249,50
Marsanne,18,8,2015,6,17,7.9,5.4,,,879,506,,,,,,,
Marsanne,18,8,2015,8,5,7.3,6.2,,,,,21.388,25.908,26.05,23.995,23.406,584388.192,69
Marsanne,18,8,2015,8,7,8.5,7,,,,,19.655,19.372,22.22,19.427,22.057,585630.249,71
Roussanne,19,7,2015,4,17,10,4.9,,,574,,,,,,,,
Syrah,19,9,2015,4,17,9.6,5.2,,,486,,,,,,,,
Syrah,19,9,2015,4,19,8.9,6,,,,,,,,,,,
Syrah,19,9,2015,4,20,,,15.786,,493,,,,,,,,
Syrah,19,9,2015,4,21,8.9,6,16.451,,538,,,,,,,,
Syrah,19,9,2015,4,24,9,5,17.047,,638,,,,,,,,
Syrah,19,9,2015,6,15,8.5,6.4,,,743,1051,,,,,,,
Syrah,19,9,2015,6,19,9,8.9,,,1137,486,,,,,,,
Syrah,19,9,2015,8,4,6.2,3.75,,,,,24.5,19.024,14.855,18.072,17.273,573389.179,87
Syrah,19,9,2015,8,6,8.8,6.5,,,,,,,,,,,
Syrah,19,10,2015,4,22,,4.6,,,,,,,,,,,
Syrah,19,10,2015,4,23,6.9,4.3,18.2,,645,,,,,,,,
Syrah,19,10,2015,6,16,7.4,4,,,858,629,18.85,14.339,15.446,19.273,13.842,585630.249,100
Syrah,19,10,2015,6,17,8.9,6.1,,,693,482,,,,,,,
Syrah,19,10,2015,8,5,7.2,6.5,,,,,,,,,,,
Syrah,19,10,2015,8,7,9,7.1,,,,,14.345,16.245,16.882,26.464,14.504,585630.249,74,,,,,,,
Valdepenas,20,1,2015,4,21,4.8,3.1,42.334,,1639,,,,,,,,,,,,,,,
Valdepenas,20,1,2015,6,15,5.5,5.05,,,2702,1024,,,,,,,,,,,,,,
Valdepenas,20,2,2015,4,17,5.9,4.9,,,702,,,,,,,,,,,,,,,
Valdepenas,20,2,2015,4,19,5.4,3.6,,,,,,,,,,,,,,,,,,
Valdepenas,20,2,2015,4,22,,3.8,,,,,,,,,,,,,,,,,,
Valdepenas,20,2,2015,4,23,6.5,3.1,33.446,,1148,,,,,,,,,,,,,,,
Valdepenas,20,2,2015,4,24,7,4.9,26.814,,944,,,,,,,,,,,,,,,
Valdepenas,20,2,2015,6,16,5.5,3.95,,,638,1071,13.827,19.403,16.987,18.231,21.111,585630.249,62,17.931,20.019,21.804,18.173,22.547,585630.249,51
Valdepenas,20,2,2015,6,17,6.3,4.6,,,1030,835,22.734,22.087,18.128,22.486,21.586,585630.249,121,22.755,19.175,21.147,18.515,17.224,585630.249,110
Valdepenas,20,2,2015,6,19,5.6,4.8,,,941,897,,,,,,,,,,,,,,
Valdepenas,20,2,2015,8,4,5.5,3.9,,,,,,,,,,,,,,,,,,
Valdepenas,20,2,2015,8,5,8.5,4.5,,,,,21.654,22.837,29.947,22.567,23.473,584388.192,70,,,,,,,
Valdepenas,20,2,2015,8,6,5.9,4.8,,,,,,,,,,,,,,,,,,
Valdepenas,20,2,2015,8,7,9.5,7.4,,,,,,,,,,,,,,,,,,
Viognier,20,4,2015,4,17,7,5,,,639,,,,,,,,,,,,,,,
Gewurtztraminer,20,5,2015,4,19,4.5,4.2,,,,,,,,,,,,,,,,,,,
Gewurtztraminer,20,5,2015,4,20,,,38.502,,556,,,,,,,,,,,,,,,,
Gewurtztraminer,20,5,2015,4,21,6.6,4.5,16.904,,562,,,,,,,,,,,,,,,,
Gewurtztraminer,20,5,2015,4,24,5.9,4.9,22.184,,433,,,,,,,,,,,,,,,,
Gewurtztraminer,20,5,2015,6,15,8.6,4.2,,,1203,504,,,,,,,,,,,,,,,
Gewurtztraminer,20,5,2015,6,16,7.6,4.1,,,734,542,,,,,,,,,,,,,,,
Gewurtztraminer,20,5,2015,6,19,7.1,4.4,,,446,361,24.17,23.451,23.594,19.758,21.76,585630.249,122,23.263,22.438,22.963,19.722,23.239,585630.249,120,1.57
Gewurtztraminer,20,5,2015,8,4,7.1,4.9,,,,,,,,,,,,,,,,,,,
Gewurtztraminer,20,5,2015,8,6,6.1,5.75,,,,,30.013,26.118,32.406,21.236,24.387,584388.192,95,,,,,,,,
Gewurtztraminer,20,6,2015,4,22,,4.5,,,,,,,,,,,,,,,,,,,
Gewurtztraminer,20,6,2015,4,23,5.4,4.4,17.314,,572,,,,,,,,,,,,,,,,
