"month","day","row_plant","variety","Photo","Cond","wue"
4,21,"39.3","Calzin",14.1,0.214,65.8878504672897
4,21,"39.3","Calzin",14.2,0.221,64.2533936651584
4,21,"39.3","Calzin",14,0.219,63.9269406392694
4,21,"39.3","Calzin",14.2,0.219,64.8401826484018
4,21,"44.1","Ruby_Seedless",13.3,0.213,62.4413145539906
4,21,"44.1","Ruby_Seedless",13.2,0.219,60.2739726027397
4,21,"44.1","Ruby_Seedless",13.1,0.224,58.4821428571429
4,21,"44.1","Ruby_Seedless",13.1,0.226,57.9646017699115
4,21,"15.3","Merlot",13.5,0.217,62.2119815668203
4,21,"15.3","Merlot",13.6,0.222,61.2612612612613
4,21,"15.3","Merlot",13.7,0.226,60.6194690265487
4,21,"15.3","Merlot",13.6,0.227,59.9118942731277
4,21,"16.1","Sauvignon_blanc",15,0.189,79.3650793650794
4,21,"16.1","Sauvignon_blanc",15,0.194,77.319587628866
4,21,"16.1","Sauvignon_blanc",15.1,0.198,76.2626262626263
4,21,"16.1","Sauvignon_blanc",15.2,0.201,75.6218905472637
4,21,"16.1","Sauvignon_blanc",15.1,0.201,75.1243781094527
4,21,"16.1","Sauvignon_blanc",15.2,0.194,78.3505154639175
4,21,"16.1","Sauvignon_blanc",15.3,0.194,78.8659793814433
4,21,"17.2","UngniBlanc_Trebbiano",14.5,0.265,54.7169811320755
4,21,"17.2","UngniBlanc_Trebbiano",14.7,0.271,54.2435424354243
4,21,"17.2","UngniBlanc_Trebbiano",14.7,0.275,53.4545454545454
4,21,"17.9","Carignane",10.4,0.11,94.5454545454545
4,21,"17.9","Carignane",10.6,0.113,93.8053097345133
4,21,"17.9","Carignane",10.7,0.115,93.0434782608695
4,21,"17.9","Carignane",10.6,0.116,91.3793103448276
4,21,"17.9","Carignane",10.8,0.116,93.1034482758621
4,21,"17.9","Carignane",10.8,0.116,93.1034482758621
4,21,"17.9","Carignane",10.8,0.117,92.3076923076923
4,21,"17.9","Carignane",11,0.117,94.017094017094
4,21,"17.9","Carignane",10.9,0.117,93.1623931623932
4,21,"17.9","Carignane",10.8,0.122,88.5245901639344
4,21,"17.9","Carignane",10.9,0.124,87.9032258064516
4,21,"17.9","Carignane",10.7,0.124,86.2903225806452
4,21,"18.5","Durif",10.8,0.156,69.2307692307692
4,21,"18.5","Durif",10.8,0.16,67.5
4,21,"18.5","Durif",10.6,0.162,65.4320987654321
4,21,"18.5","Durif",10.7,0.164,65.2439024390244
4,21,"18.5","Durif",10.8,0.166,65.0602409638554
4,21,"18.5","Durif",10.9,0.166,65.6626506024096
4,21,"18.5","Durif",10.8,0.166,65.0602409638554
4,21,"18.5","Durif",10.9,0.168,64.8809523809524
4,21,"18.7","Marsanne",14.3,0.236,60.5932203389831
4,21,"18.7","Marsanne",14.5,0.244,59.4262295081967
4,21,"18.7","Marsanne",14.5,0.248,58.4677419354839
4,21,"18.7","Marsanne",14.5,0.25,58
4,21,"18.7","Marsanne",14.7,0.252,58.3333333333333
4,21,"18.7","Marsanne",14.5,0.252,57.5396825396825
4,21,"19.9","Syrah",12.1,0.192,63.0208333333333
